Date,Hour,AvgDissolvedOxygenInput,AvgWaterTemperatureInput,AvgDOPercentSaturationInput,AvgDissolvedOxygenOutput,AvgWaterTemperatureOutput,AvgDOPercentSaturationOutput,OxygenInOutDiff,DateHour,DODiffIn,DODiffOut,AvgWaterSurfaceElevationInput,AvgWaterSurfaceElevationOutput,mean_GlobalSolarRadiationCampodarsego,mean_GlobalSolarRadiationLegnaro,mean_Max_AirRel_Humidity,mean_Min_AirRel_Humidity,mean_Tair_mean,sum_Precipitation,WeatherRegime,aggPrecipitation
28-Jan-2023,6,8.78341666666667,8.24383333333333,74.60880575,8.78208333333333,7.8315,73.8499259166667,0.00133333333333319,28-Jan-2023 06:00:00,-0.0438333333333336,0.0261666666666667,11.672275,8.81966666666666,0,0,76,65,1.7,0,Dry,0
28-Jan-2023,7,8.75041666666667,8.21266666666667,74.2721080833333,8.76658333333333,7.81066666666667,73.6819809166667,-0.0161666666666651,28-Jan-2023 07:00:00,-0.0329999999999977,-0.0154999999999994,11.6722583333333,8.81625,0,0,72,64,1.7,0,Dry,0
28-Jan-2023,8,8.737,8.18575,74.1096324166667,8.72733333333334,7.78066666666667,73.2980829166667,0.00966666666666427,28-Jan-2023 08:00:00,-0.013416666666668,-0.0392499999999973,11.673325,8.8175,2,4,78,71,0.8,0,Dry,0
28-Jan-2023,9,8.75208333333333,8.19608333333333,74.2562965,8.76108333333333,7.77191666666667,73.56572575,-0.00900000000000034,28-Jan-2023 09:00:00,0.0150833333333331,0.0337499999999977,11.6733416666667,8.81216666666667,47,49,72,68,1.4,0,Dry,0
28-Jan-2023,10,8.78241666666667,8.2275,74.570657,8.82008333333333,7.79325,74.0999760833333,-0.0376666666666665,28-Jan-2023 10:00:00,0.0303333333333349,0.0590000000000011,11.673375,8.80765833333333,225,176,65,56,2.7,0,Dry,0
28-Jan-2023,11,8.84866666666667,8.30575,75.2764305833334,8.88183333333333,7.8515,74.7254205,-0.0331666666666681,28-Jan-2023 11:00:00,0.0662499999999984,0.06175,11.6730916666667,8.806325,349,364,55,52,4.4,0,Dry,0
28-Jan-2023,12,8.91225,8.385,75.9633371666667,8.97783333333333,7.93266666666667,75.6836025,-0.0655833333333344,28-Jan-2023 12:00:00,0.0635833333333338,0.0960000000000001,11.6735,8.80208333333333,444,438,48,43,5.8,0,Dry,0
28-Jan-2023,13,8.93366666666667,8.44283333333333,76.2526846666667,9.1155,8.02633333333333,77.0202771666667,-0.181833333333334,28-Jan-2023 13:00:00,0.0214166666666671,0.137666666666666,11.6744916666667,8.79958333333333,492,457,45,42,6.8,0,Dry,0
28-Jan-2023,14,8.91766666666667,8.44141666666667,76.113561,9.25958333333333,8.10258333333333,78.3834706666667,-0.341916666666666,28-Jan-2023 14:00:00,-0.016,0.144083333333333,11.6780666666667,8.80341666666667,415,417,40,37,7.7,0,Dry,0
28-Jan-2023,15,8.92325,8.43116666666667,76.1422918333333,9.41433333333333,8.17625,79.8367035833333,-0.491083333333332,28-Jan-2023 15:00:00,0.00558333333333394,0.15475,11.6811416666667,8.80191666666667,350,329,41,39,8,0,Dry,0
28-Jan-2023,16,8.91416666666667,8.40691666666667,76.02002075,9.5,8.27275,80.75256825,-0.585833333333333,28-Jan-2023 16:00:00,-0.00908333333333466,0.0856666666666666,11.6847666666667,8.80645833333333,218,211,42,40,7.8,0,Dry,0
28-Jan-2023,17,8.94183333333333,8.38483333333333,76.2151226666667,9.4895,8.29783333333333,80.7124449166667,-0.547666666666666,28-Jan-2023 17:00:00,0.0276666666666667,-0.0105000000000004,11.6839916666667,8.80756666666666,75,75,45,42,7.2,0,Dry,0
28-Jan-2023,18,8.95566666666667,8.37,76.3055695833333,9.35916666666667,8.24683333333333,79.5054013333333,-0.403499999999999,28-Jan-2023 18:00:00,0.0138333333333343,-0.130333333333333,11.6794083333333,8.807375,0,2,59,47,5,0,Dry,0
28-Jan-2023,19,8.97,8.37016666666667,76.4280088333333,9.20575,8.15683333333333,78.03096375,-0.235750000000001,28-Jan-2023 19:00:00,0.0143333333333313,-0.153416666666667,11.6749083333333,8.80758333333333,0,0,71,64,2.8,0,Dry,0
28-Jan-2023,20,8.971,8.35766666666667,76.4133265,9.05508333333333,8.07183333333333,76.5948483333333,-0.084083333333334,28-Jan-2023 20:00:00,0.00100000000000122,-0.150666666666666,11.6703333333333,8.80255833333333,0,0,73,65,3.3,0,Dry,0
28-Jan-2023,21,8.98825,8.34733333333333,76.5410493333333,8.91966666666667,7.98858333333333,75.29599925,0.0685833333333346,28-Jan-2023 21:00:00,0.0172500000000024,-0.135416666666666,11.6685916666667,8.80133333333333,0,0,61,59,4.4,0,Dry,0
28-Jan-2023,22,8.98758333333334,8.33025,76.50360675,8.84083333333333,7.92483333333333,74.5141908333333,0.146750000000001,28-Jan-2023 22:00:00,-0.000666666666667481,-0.0788333333333338,11.6691166666667,8.80175,0,0,64,62,3.6,0,Dry,0
28-Jan-2023,23,8.98891666666667,8.31908333333333,76.4941898333333,8.78591666666667,7.8845,73.9781944166667,0.203000000000001,28-Jan-2023 23:00:00,0.00133333333333319,-0.0549166666666672,11.670625,8.8035,0,0,66,64,3,0,Dry,0
